ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_Comments
613,Kabir Seth,Female,North,Tamil Nadu,114835,INDIVIDUAL,VOTER_ID,mB1621kfZb,Commercial,5,5/4/2025,5/5/2025,5/9/2025,Approved,2890,Anya Kalita,KYC failed
614,Jiya Krishnan,Female,North,Tamil Nadu,1697,INDIVIDUAL,PAN,RG1098YXyS,Residential,1,6/20/2025,6/29/2025,7/3/2025,Rejected,9378,Shray Butala,Installation pending
615,Hunar Mahajan,Female,South,Tamil Nadu,305062,INDIVIDUAL,AADHAR,CK0062fNnD,Commercial,1,7/11/2025,7/15/2025,7/16/2025,Rejected,3266,Ela Sinha,Installation completed
616,Anya Bhavsar,Female,West,Tamil Nadu,629497,INDIVIDUAL,VOTER_ID,br5690ZUTd,Commercial,3,6/13/2025,6/20/2025,6/25/2025,Pending,4676,Arnav Halder,Documents Verification in progress
617,Oorja Rajan,Female,North,Tamil Nadu,5726,INDIVIDUAL,AADHAR,bH9476obFy,Residential,5,5/19/2025,5/29/2025,6/3/2025,Pending,3366,Piya Bal,KYC failed
618,Rania Ramaswamy,Female,South,Tamil Nadu,443497,INDIVIDUAL,VOTER_ID,ZO3780CdkH,Commercial,8,5/15/2025,5/16/2025,5/21/2025,Pending,1635,Gatik Johal,Installation pending
619,Advik Chokshi,Female,West,Tamil Nadu,842897,JOINT,PASSPORT,DZ9537PDIX,Commercial,6,6/18/2025,6/20/2025,6/25/2025,Approved,2816,Nitara Mannan,Documents Verification in progress
620,Indrans Wason,Male,North,Tamil Nadu,529931,INDIVIDUAL,PASSPORT,Ur6052farl,Residential,4,4/23/2025,4/25/2025,4/26/2025,Pending,1740,Shayak Balay,Installation completed
621,Umang Thakkar,Female,North,Tamil Nadu,449534,JOINT,PAN,Og3047pyuF,Commercial,4,6/20/2025,6/21/2025,6/25/2025,Approved,8937,Divyansh Kale,KYC failed
622,Abram Garde,Male,West,Tamil Nadu,691132,JOINT,VOTER_ID,nh8570nwEf,Residential,2,7/15/2025,7/24/2025,7/29/2025,Approved,5494,Samar Dhawan,Installation completed
623,Nakul Bobal,Male,West,Tamil Nadu,46004,JOINT,PAN,CX4734scUt,Residential,3,6/23/2025,6/27/2025,6/28/2025,Rejected,2013,Rati Rattan,KYC failed
624,Divyansh Mammen,Male,South,Tamil Nadu,672260,JOINT,AADHAR,WE7954VEGV,Residential,2,6/11/2025,6/13/2025,6/15/2025,Rejected,4891,Madhup Lall,Installation pending
625,Seher Bhat,Male,East,Tamil Nadu,458428,JOINT,PAN,nL0606SITW,Commercial,6,4/23/2025,4/30/2025,5/4/2025,Rejected,1312,Miraya Sengupta,Installation pending
626,Anahita Buch,Female,East,Tamil Nadu,929620,INDIVIDUAL,VOTER_ID,us2289UHwH,Commercial,4,6/23/2025,6/30/2025,7/2/2025,Rejected,6225,Shalv Kothari,Installation completed
627,Mehul Bhavsar,Female,East,Tamil Nadu,802220,JOINT,PASSPORT,We8572WpWS,Commercial,8,4/18/2025,4/27/2025,4/30/2025,Pending,4663,Mishti Tailor,KYC failed
628,Adah Sami,Male,South,Tamil Nadu,665202,JOINT,PASSPORT,UZ5065gaLc,Residential,2,5/11/2025,5/13/2025,5/17/2025,Pending,2205,Kavya Brahmbhatt,Installation pending
629,Taran Sharaf,Male,South,Tamil Nadu,203191,INDIVIDUAL,VOTER_ID,ei8956Mqqu,Commercial,5,7/9/2025,7/11/2025,7/13/2025,Pending,5412,Alia Sharma,Documents Verification in progress
630,Keya Koshy,Male,East,Tamil Nadu,534212,JOINT,PASSPORT,Hu2291nzhI,Residential,1,6/1/2025,6/5/2025,6/8/2025,Pending,2749,Hrishita Choudhury,KYC failed
631,Charvi Divan,Female,North,Tamil Nadu,971161,JOINT,AADHAR,DN5282mhUD,Residential,5,6/6/2025,6/10/2025,6/14/2025,Approved,8718,Tushar Wadhwa,Installation completed
632,Biju Gera,Male,South,Tamil Nadu,290404,INDIVIDUAL,VOTER_ID,aY8227eUyA,Commercial,10,7/21/2025,7/30/2025,8/1/2025,Pending,2037,Drishya Shankar,Installation completed
633,Lakshit Bobal,Male,East,Tamil Nadu,887273,INDIVIDUAL,VOTER_ID,nK7953gOaq,Residential,10,5/23/2025,6/1/2025,6/5/2025,Approved,6161,Rati Tata,Installation completed
634,Trisha Ramanathan,Male,West,Tamil Nadu,152738,JOINT,PASSPORT,gW9849hsTL,Residential,7,6/30/2025,7/4/2025,7/5/2025,Rejected,8868,Kaira Varty,Installation pending
635,Umang Venkataraman,Female,East,Tamil Nadu,524134,JOINT,VOTER_ID,Is8978RQDI,Commercial,9,4/20/2025,4/30/2025,5/1/2025,Connection Released,8912,Samarth Magar,Installation completed
636,Ahana  Joshi,Male,East,Tamil Nadu,952660,INDIVIDUAL,PAN,NP6382nPiP,Commercial,1,5/3/2025,5/5/2025,5/7/2025,Approved,3535,Aaina Gill,Documents Verification in progress
637,Yuvraj  Chakrabarti,Female,West,Tamil Nadu,979757,JOINT,VOTER_ID,Kp3263KUCp,Residential,1,7/1/2025,7/8/2025,7/10/2025,Pending,5182,Aradhya Kala,Documents Verification in progress
638,Ishita Bhattacharyya,Female,East,Tamil Nadu,364442,JOINT,VOTER_ID,yD9841KXtt,Residential,7,7/1/2025,7/8/2025,7/10/2025,Connection Released,7912,Sara Bawa,Installation pending
639,Vedika Kamdar,Female,West,Tamil Nadu,850055,JOINT,VOTER_ID,vf2337hRhX,Residential,3,5/5/2025,5/13/2025,5/15/2025,Pending,8821,Nitara Dugar,Documents Verification in progress
640,Riya Bora,Male,West,Tamil Nadu,2673,INDIVIDUAL,PASSPORT,xj1001ynlK,Residential,1,6/15/2025,6/23/2025,6/28/2025,Rejected,6780,Biju Dara,Installation completed
641,Ranbir Bir,Female,West,Tamil Nadu,183044,JOINT,PAN,Ov1594Wmjf,Commercial,2,5/12/2025,5/14/2025,5/15/2025,Rejected,2871,Madhav Sachdeva,KYC failed
642,Ritvik Sibal,Male,North,Tamil Nadu,152161,INDIVIDUAL,AADHAR,bb1623xLLK,Commercial,6,6/6/2025,6/8/2025,6/11/2025,Rejected,9850,Fateh Bahri,Documents Verification in progress
643,Yuvaan Lad,Female,North,Tamil Nadu,46662,JOINT,AADHAR,Pr0433XsQB,Commercial,3,6/24/2025,6/28/2025,7/3/2025,Rejected,4508,Sahil Mangat,Documents Verification in progress
644,Onkar Sathe,Female,East,Tamil Nadu,306330,INDIVIDUAL,AADHAR,uO0291fOyw,Residential,4,4/28/2025,5/6/2025,5/8/2025,Approved,6408,Lakshay Raval,Installation completed
645,Reyansh Das,Female,North,Tamil Nadu,438658,INDIVIDUAL,AADHAR,Gp8435NcMd,Commercial,6,6/24/2025,6/29/2025,6/30/2025,Approved,9977,Pari Bahl,Installation pending
646,Devansh Sanghvi,Male,West,Tamil Nadu,401767,JOINT,AADHAR,Ke2772NoZH,Commercial,9,7/4/2025,7/11/2025,7/15/2025,Pending,8470,Madhav Luthra,Installation completed
647,Advika Chhabra,Female,West,Tamil Nadu,154653,JOINT,VOTER_ID,pP0768shZi,Residential,8,6/10/2025,6/19/2025,6/22/2025,Connection Released,7276,Priyansh Balasubramanian,Documents Verification in progress
648,Azad Apte,Male,South,Tamil Nadu,648059,JOINT,AADHAR,eg7344OMCr,Commercial,3,4/30/2025,5/8/2025,5/12/2025,Approved,7430,Kavya Venkataraman,Installation completed
649,Kabir Banik,Male,West,Tamil Nadu,352643,JOINT,VOTER_ID,jw1131TKKX,Residential,6,6/14/2025,6/16/2025,6/21/2025,Approved,8973,Nehmat Kapoor,KYC failed
650,Khushi Dara,Female,West,Tamil Nadu,822108,JOINT,AADHAR,VO4360roat,Residential,2,7/16/2025,7/19/2025,7/23/2025,Pending,1419,Nirvi Contractor,Installation pending
651,Nayantara Gade,Female,West,Tamil Nadu,251227,JOINT,PASSPORT,uI4763PdjG,Commercial,8,6/19/2025,6/29/2025,7/2/2025,Approved,3764,Tejas Roy,Installation completed
652,Renee Batta,Male,East,Tamil Nadu,93176,JOINT,VOTER_ID,ww3779JIPF,Residential,6,6/10/2025,6/19/2025,6/20/2025,Rejected,8606,Chirag Bhagat,Documents Verification in progress
653,Lavanya Chadha,Male,South,Tamil Nadu,75779,JOINT,PASSPORT,Cw6715UJJp,Commercial,5,7/14/2025,7/20/2025,7/21/2025,Rejected,3963,Alisha Chander,KYC failed
654,Nitara Batra,Female,West,Tamil Nadu,521157,INDIVIDUAL,VOTER_ID,In5480KLDj,Commercial,9,5/31/2025,6/8/2025,6/12/2025,Approved,8642,Hazel Dara,KYC failed
655,Oorja Goswami,Male,North,Tamil Nadu,130597,INDIVIDUAL,AADHAR,RD5610yGkg,Commercial,6,7/18/2025,7/27/2025,7/29/2025,Rejected,1335,Seher Ramesh,Installation completed
656,Advik Swamy,Female,West,Tamil Nadu,811737,JOINT,PAN,AH5673FPLL,Residential,4,5/21/2025,5/22/2025,5/26/2025,Approved,8954,Mishti Reddy,Documents Verification in progress
657,Shray Viswanathan,Male,West,Tamil Nadu,153024,INDIVIDUAL,VOTER_ID,Tc4566lDdJ,Commercial,3,4/27/2025,4/30/2025,5/2/2025,Rejected,7720,Vardaniya Sandal,Installation pending
658,Samar Wadhwa,Male,North,Tamil Nadu,774018,JOINT,AADHAR,Fo4307VRut,Commercial,6,7/22/2025,7/24/2025,7/28/2025,Rejected,7816,Azad Dutta,KYC failed
659,Samarth Dani,Female,West,Tamil Nadu,93038,INDIVIDUAL,VOTER_ID,GY8728EEyI,Residential,9,5/8/2025,5/16/2025,5/21/2025,Rejected,7331,Manjari Reddy,KYC failed
660,Alisha Vaidya,Female,North,Tamil Nadu,990672,INDIVIDUAL,PASSPORT,Xe1144rACO,Commercial,7,4/20/2025,4/23/2025,4/24/2025,Approved,3684,Kabir Rao,Installation pending
661,Hunar Rana,Male,West,Tamil Nadu,676975,INDIVIDUAL,PAN,ew0321YKIT,Residential,3,6/9/2025,6/15/2025,6/20/2025,Rejected,8828,Samaira Bail,KYC failed
662,Shaan Khatri,Male,East,Tamil Nadu,546791,JOINT,PASSPORT,TN2316Xczn,Commercial,1,6/2/2025,6/4/2025,6/9/2025,Pending,8929,Arhaan Mandal,Installation completed
663,Sana Handa,Female,South,Tamil Nadu,645164,INDIVIDUAL,PASSPORT,Jn0221ipbR,Residential,5,5/15/2025,5/18/2025,5/19/2025,Pending,7429,Arnav Kale,Installation pending
664,Zara Badami,Male,South,Tamil Nadu,299669,JOINT,VOTER_ID,Fv8071jgOa,Commercial,8,5/13/2025,5/15/2025,5/17/2025,Connection Released,3408,Anahita Bhandari,KYC failed
665,Sahil Saraf,Female,South,Tamil Nadu,882117,JOINT,VOTER_ID,Ni6230LxJZ,Commercial,4,6/11/2025,6/21/2025,6/25/2025,Connection Released,1380,Vihaan Tripathi,Documents Verification in progress
666,Nitara Borde,Female,North,Tamil Nadu,449319,JOINT,AADHAR,UT8629KSEB,Commercial,8,6/22/2025,6/26/2025,6/30/2025,Connection Released,1189,Kismat Sachdev,KYC failed
667,Pihu Ghosh,Male,South,Tamil Nadu,513967,INDIVIDUAL,PAN,jD9888zSoZ,Residential,1,5/9/2025,5/18/2025,5/22/2025,Connection Released,4295,Zoya Chaudhuri,KYC failed
668,Abram Kapadia,Female,West,Tamil Nadu,279058,INDIVIDUAL,VOTER_ID,Ld8317Lkor,Commercial,6,7/10/2025,7/20/2025,7/24/2025,Pending,4492,Sahil Kadakia,Installation pending
669,Stuvan Doctor,Female,East,Tamil Nadu,818809,INDIVIDUAL,PASSPORT,BE2582LaLU,Residential,10,7/18/2025,7/21/2025,7/22/2025,Pending,6509,Shayak Toor,Installation completed
670,Yashvi Bail,Female,East,Tamil Nadu,332355,JOINT,AADHAR,BH0666JSUR,Commercial,10,5/18/2025,5/28/2025,6/1/2025,Rejected,9823,Nitya Bumb,Documents Verification in progress
671,Aarna Gandhi,Female,West,Tamil Nadu,562154,INDIVIDUAL,PASSPORT,bT3365PkLz,Residential,2,5/18/2025,5/24/2025,5/29/2025,Connection Released,5175,Umang Mani,KYC failed
672,Kaira Sen,Male,South,Tamil Nadu,386873,INDIVIDUAL,PASSPORT,JB6892KceK,Residential,2,7/21/2025,7/30/2025,8/1/2025,Approved,5353,Taimur Deol,Installation pending
673,Jayant Mahal,Male,South,Tamil Nadu,494973,JOINT,PAN,fw2802fudc,Commercial,6,6/24/2025,6/29/2025,7/4/2025,Approved,9909,Tara Goel,KYC failed
674,Yuvraj  Mallick,Male,East,Tamil Nadu,426834,INDIVIDUAL,PAN,NP4317yuJK,Commercial,4,6/7/2025,6/15/2025,6/19/2025,Pending,5964,Bhavin Divan,Documents Verification in progress
675,Kiara Tiwari,Female,East,Tamil Nadu,30133,INDIVIDUAL,PAN,gV2450WFRS,Commercial,7,7/23/2025,7/27/2025,7/28/2025,Approved,4973,Suhana Mani,Installation completed
676,Sumer Bir,Female,North,Tamil Nadu,842939,INDIVIDUAL,PAN,nY0217pYAa,Commercial,10,4/26/2025,5/2/2025,5/7/2025,Pending,3194,Hansh Ravi,Installation pending
677,Farhan Upadhyay,Male,North,Tamil Nadu,699919,INDIVIDUAL,AADHAR,ah7473OtJF,Residential,7,6/23/2025,6/26/2025,6/29/2025,Connection Released,1146,Alisha Mammen,Documents Verification in progress
678,Jayesh Dash,Male,North,Tamil Nadu,73850,INDIVIDUAL,AADHAR,lJ3055yhxI,Commercial,4,5/29/2025,5/31/2025,6/3/2025,Pending,9648,Shaan Bir,KYC failed
679,Tara Sodhi,Male,North,Tamil Nadu,17880,INDIVIDUAL,VOTER_ID,Nj0141cUbw,Commercial,7,7/6/2025,7/13/2025,7/18/2025,Approved,5507,Mannat Sharaf,Installation pending
680,Aniruddh Swaminathan,Male,North,Tamil Nadu,411165,INDIVIDUAL,PAN,pO1968nRoc,Commercial,2,4/28/2025,5/8/2025,5/10/2025,Connection Released,9176,Dharmajan Wable,Documents Verification in progress
681,Devansh Varma,Female,North,Tamil Nadu,740106,INDIVIDUAL,PAN,gf9981GwhB,Residential,7,5/19/2025,5/28/2025,6/2/2025,Connection Released,2355,Yashvi Sem,Installation pending
682,Devansh Apte,Female,West,Tamil Nadu,516464,INDIVIDUAL,AADHAR,bG1768gqkb,Residential,7,7/22/2025,7/23/2025,7/24/2025,Rejected,7795,Eva Kata,Installation completed
683,Inaaya  Mane,Male,West,Tamil Nadu,381778,JOINT,VOTER_ID,fw6204memc,Commercial,7,7/24/2025,7/27/2025,7/28/2025,Connection Released,6598,Anya Rajagopalan,KYC failed
684,Raghav Vohra,Male,North,Tamil Nadu,341185,INDIVIDUAL,PASSPORT,mh6191QVzo,Residential,4,5/14/2025,5/18/2025,5/22/2025,Connection Released,5068,Vivaan Swamy,Documents Verification in progress
685,Divij Viswanathan,Male,West,Tamil Nadu,405686,JOINT,PAN,up8163UEBJ,Commercial,3,4/17/2025,4/24/2025,4/27/2025,Connection Released,1070,Renee Dhar,KYC failed
686,Zoya Kuruvilla,Male,West,Tamil Nadu,526198,INDIVIDUAL,PASSPORT,gZ5072AoPu,Residential,9,7/2/2025,7/12/2025,7/14/2025,Pending,1407,Indranil Batta,Installation pending
687,Kartik Yohannan,Male,North,Tamil Nadu,839216,JOINT,PAN,aL3541dyox,Residential,6,7/13/2025,7/17/2025,7/19/2025,Connection Released,1270,Neysa Lall,Installation pending
688,Ivan Sinha,Female,West,Tamil Nadu,422974,INDIVIDUAL,PAN,Vd9291NokU,Commercial,5,6/4/2025,6/5/2025,6/10/2025,Approved,4527,Nirvi Contractor,Installation pending
689,Ishita Bail,Female,East,Tamil Nadu,748365,JOINT,PASSPORT,wn7052rUsP,Residential,6,7/10/2025,7/17/2025,7/21/2025,Approved,7892,Adira Bumb,KYC failed
690,Hrishita Badal,Male,North,Tamil Nadu,965153,INDIVIDUAL,VOTER_ID,iw9551AEuW,Residential,5,5/27/2025,5/28/2025,6/2/2025,Connection Released,5637,Ritvik Rattan,Documents Verification in progress
691,Hunar Buch,Female,South,Tamil Nadu,111581,JOINT,PAN,aP2157qdUW,Residential,10,7/24/2025,8/1/2025,8/6/2025,Rejected,6176,Yashvi Sundaram,KYC failed
692,Stuvan Sandal,Male,North,Tamil Nadu,454901,JOINT,PAN,bL6582XokS,Residential,5,7/16/2025,7/23/2025,7/28/2025,Approved,2211,Jivika Bumb,Installation completed
693,Ela Bains,Female,East,Tamil Nadu,150959,INDIVIDUAL,VOTER_ID,ce6793fpBO,Residential,9,4/18/2025,4/25/2025,4/30/2025,Rejected,7337,Devansh Anand,Installation completed
694,Vihaan Bir,Female,South,Tamil Nadu,836744,INDIVIDUAL,AADHAR,kX4805gTEE,Commercial,5,6/1/2025,6/4/2025,6/8/2025,Connection Released,3562,Shamik Trivedi,Installation pending
695,Samaira Dugar,Male,West,Tamil Nadu,723719,INDIVIDUAL,PAN,DE0512YCtO,Commercial,9,5/2/2025,5/6/2025,5/11/2025,Rejected,6137,Ritvik Borde,Installation pending
696,Biju Kata,Female,South,Tamil Nadu,528272,JOINT,PASSPORT,vt7846ctUU,Commercial,9,6/28/2025,7/2/2025,7/7/2025,Rejected,6705,Uthkarsh Lala,Installation completed
697,Sahil Sekhon,Female,North,Tamil Nadu,718934,JOINT,PASSPORT,QR6198PNkm,Commercial,9,7/10/2025,7/19/2025,7/20/2025,Pending,3620,Shray Dara,Installation pending
698,Riaan Buch,Male,East,Tamil Nadu,733649,INDIVIDUAL,PASSPORT,pB5984FWGj,Residential,9,4/22/2025,4/30/2025,5/3/2025,Pending,7218,Arhaan Ghose,Installation completed
699,Nakul Sood,Male,North,Tamil Nadu,593887,INDIVIDUAL,VOTER_ID,sT1301jfVo,Residential,1,4/21/2025,4/27/2025,4/29/2025,Rejected,1889,Kartik Borde,KYC failed
700,Jhanvi Chaudhry,Male,South,Tamil Nadu,332329,INDIVIDUAL,AADHAR,EA1707iToU,Residential,5,6/18/2025,6/22/2025,6/24/2025,Pending,1803,Aniruddh Korpal,Installation pending
701,Umang Doshi,Male,East,Tamil Nadu,708779,JOINT,PASSPORT,ag1551BKRg,Commercial,8,7/24/2025,7/28/2025,7/29/2025,Rejected,9016,Yuvraj  Dey,Installation pending
702,Shlok Varughese,Male,South,Tamil Nadu,772107,INDIVIDUAL,PASSPORT,JT7647tsYp,Residential,9,5/3/2025,5/13/2025,5/15/2025,Connection Released,6283,Diya Savant,KYC failed
703,Tushar Krish,Male,South,Tamil Nadu,615358,JOINT,VOTER_ID,cX3636whNJ,Commercial,9,7/23/2025,7/26/2025,7/31/2025,Rejected,8972,Vaibhav Golla,Installation completed
704,Ela Dash,Male,North,Tamil Nadu,696057,JOINT,PASSPORT,Qc4126wQYl,Commercial,7,5/29/2025,6/8/2025,6/13/2025,Rejected,7139,Siya Chhabra,Installation completed
705,Shayak Randhawa,Male,East,Tamil Nadu,222817,INDIVIDUAL,PAN,JF8765pNTW,Residential,9,5/25/2025,5/31/2025,6/4/2025,Rejected,4544,Priyansh Luthra,Installation completed
706,Dhanush Bali,Male,East,Tamil Nadu,31510,JOINT,AADHAR,zo0924rQIs,Residential,9,5/13/2025,5/14/2025,5/18/2025,Pending,3427,Riaan Sarin,KYC failed
707,Kanav Arora,Female,North,Tamil Nadu,61485,INDIVIDUAL,PASSPORT,Cw7267WlKm,Commercial,6,6/28/2025,7/8/2025,7/13/2025,Pending,7130,Manikya Setty,KYC failed
708,Tanya Chada,Male,South,Tamil Nadu,700732,INDIVIDUAL,PAN,kc8489oMdq,Commercial,4,6/4/2025,6/8/2025,6/10/2025,Rejected,5113,Adah Sandhu,Installation pending
709,Rati Chaudhary,Female,West,Tamil Nadu,359811,JOINT,PASSPORT,Vg2459ujQJ,Commercial,4,4/16/2025,4/25/2025,4/28/2025,Approved,2460,Renee Sachar,Documents Verification in progress
710,Zoya De,Female,East,Tamil Nadu,860972,INDIVIDUAL,PAN,vq0168cEQD,Residential,10,5/8/2025,5/14/2025,5/16/2025,Approved,8349,Kiara Kamdar,Installation pending
711,Piya Din,Female,South,Tamil Nadu,901822,INDIVIDUAL,PAN,Rg2550xEOb,Commercial,1,4/28/2025,4/29/2025,5/1/2025,Pending,5258,Renee Khurana,Installation pending
712,Kabir Raman,Male,West,Tamil Nadu,629678,JOINT,PAN,cF3685kIgV,Residential,10,6/24/2025,6/28/2025,7/1/2025,Rejected,6068,Shaan Basak,Installation completed
713,Taimur Bajaj,Female,North,Tamil Nadu,208748,INDIVIDUAL,PASSPORT,Qc9290bQsT,Commercial,6,6/16/2025,6/19/2025,6/21/2025,Pending,8472,Alisha Tandon,Installation pending
714,Indrans Sachdev,Female,South,Tamil Nadu,920518,INDIVIDUAL,AADHAR,Su2203wuga,Commercial,9,6/8/2025,6/14/2025,6/16/2025,Rejected,9350,Eva Dash,Installation pending
715,Mehul Grover,Female,East,Tamil Nadu,33447,INDIVIDUAL,AADHAR,WB8463NFuj,Commercial,2,5/30/2025,6/8/2025,6/13/2025,Rejected,1749,Nishith Goyal,Installation completed
716,Bhamini Sami,Female,West,Tamil Nadu,373046,INDIVIDUAL,AADHAR,Rf1295kMxG,Residential,5,6/12/2025,6/19/2025,6/24/2025,Approved,1445,Mamooty Bahl,Installation pending
717,Farhan Kamdar,Female,East,Tamil Nadu,350004,INDIVIDUAL,AADHAR,WW5270tgSf,Residential,1,6/30/2025,7/8/2025,7/10/2025,Approved,7050,Anaya Kothari,KYC failed
718,Anahi Khare,Female,South,Tamil Nadu,843823,JOINT,VOTER_ID,En1893Kijq,Residential,7,5/4/2025,5/6/2025,5/8/2025,Pending,7142,Ishita Karan,KYC failed
719,Samarth Sidhu,Female,North,Tamil Nadu,747441,JOINT,PASSPORT,Wd7459Gjqe,Residential,1,6/25/2025,6/29/2025,6/30/2025,Approved,3801,Gatik Kumar,Installation pending
720,Drishya Bakshi,Male,East,Tamil Nadu,434155,JOINT,VOTER_ID,Bh1322VTYK,Commercial,1,5/4/2025,5/10/2025,5/13/2025,Approved,5523,Misha Subramaniam,Installation completed
721,Aradhya Sinha,Female,South,Tamil Nadu,747679,INDIVIDUAL,VOTER_ID,Dr8295CXAj,Residential,9,5/15/2025,5/19/2025,5/24/2025,Connection Released,1600,Ela Atwal,Documents Verification in progress
722,Saanvi Karan,Female,North,Tamil Nadu,69067,INDIVIDUAL,PASSPORT,nD9326Grwx,Residential,6,4/19/2025,4/22/2025,4/23/2025,Rejected,2424,Ayesha Sampath,Installation completed
723,Heer Grover,Female,East,Tamil Nadu,714290,INDIVIDUAL,PASSPORT,hW6468Efhr,Residential,4,4/22/2025,4/26/2025,5/1/2025,Connection Released,8294,Mannat Bath,Documents Verification in progress
724,Tushar Contractor,Female,South,Tamil Nadu,879440,JOINT,AADHAR,ky8316ceYN,Residential,2,5/19/2025,5/22/2025,5/26/2025,Rejected,5804,Nitya Vohra,Documents Verification in progress
725,Mohanlal Sabharwal,Male,West,Tamil Nadu,37701,INDIVIDUAL,PAN,eA7225AFiS,Residential,4,7/21/2025,7/23/2025,7/26/2025,Rejected,6959,Nitya Varty,Installation pending
726,Shanaya Yohannan,Female,North,Tamil Nadu,768185,JOINT,VOTER_ID,EV3097HeBS,Residential,7,5/23/2025,5/30/2025,6/2/2025,Rejected,4007,Hunar Bora,KYC failed
727,Vidur Chowdhury,Male,West,Tamil Nadu,477906,INDIVIDUAL,PAN,Cx4457AIue,Commercial,9,6/27/2025,6/28/2025,7/1/2025,Rejected,4766,Lakshay Kade,KYC failed
728,Eshani Bawa,Female,West,Tamil Nadu,571545,INDIVIDUAL,VOTER_ID,tH0375ZlEh,Commercial,10,6/12/2025,6/17/2025,6/22/2025,Approved,2233,Hunar Thakkar,Documents Verification in progress
729,Seher Dar,Male,East,Tamil Nadu,854417,INDIVIDUAL,VOTER_ID,DR7398iKns,Residential,9,5/15/2025,5/24/2025,5/25/2025,Rejected,3373,Saira Hari,Documents Verification in progress
730,Ishaan Kapadia,Female,West,Tamil Nadu,307089,JOINT,PASSPORT,lY8615OxDn,Commercial,3,5/1/2025,5/7/2025,5/8/2025,Connection Released,5324,Madhup Chandra,Installation completed
731,Anahita Krishna,Male,North,Tamil Nadu,105761,INDIVIDUAL,PASSPORT,nQ9248uJst,Residential,6,5/15/2025,5/17/2025,5/19/2025,Connection Released,4877,Khushi Dutt,KYC failed
732,Amira Krishnamurthy,Male,South,Tamil Nadu,356844,JOINT,PAN,WK1694IuYx,Residential,5,5/31/2025,6/7/2025,6/9/2025,Pending,3519,Aaryahi Mahajan,KYC failed
733,Mishti Bumb,Female,South,Tamil Nadu,558186,INDIVIDUAL,AADHAR,Zd0650OfQp,Residential,10,5/23/2025,5/27/2025,5/29/2025,Connection Released,6917,Aradhya Salvi,Installation pending
734,Yakshit Mangal,Female,South,Tamil Nadu,318652,INDIVIDUAL,VOTER_ID,rJ5481WGaJ,Residential,3,6/18/2025,6/28/2025,7/2/2025,Approved,4055,Alia Solanki,Documents Verification in progress
735,Tara Agarwal,Female,West,Tamil Nadu,104712,INDIVIDUAL,PASSPORT,iV5142vtVD,Commercial,6,7/13/2025,7/21/2025,7/24/2025,Connection Released,6452,Rhea Sridhar,Installation completed
736,Drishya Sankaran,Female,North,Tamil Nadu,971555,INDIVIDUAL,VOTER_ID,cw7530HltL,Commercial,6,7/16/2025,7/26/2025,7/27/2025,Rejected,3299,Jayan Varghese,Installation completed
737,Trisha Hora,Female,West,Tamil Nadu,26854,INDIVIDUAL,PASSPORT,xb1005IeGN,Commercial,9,6/10/2025,6/12/2025,6/14/2025,Connection Released,7372,Fateh Ramaswamy,Installation pending
738,Saira Shroff,Male,East,Tamil Nadu,178534,INDIVIDUAL,AADHAR,Dz6776ZdlD,Residential,2,5/30/2025,6/2/2025,6/6/2025,Connection Released,1035,Mahika Kapoor,KYC failed
739,Trisha Baria,Female,West,Tamil Nadu,655124,JOINT,PAN,la3052JCEP,Residential,8,6/16/2025,6/21/2025,6/25/2025,Rejected,2782,Arnav Chanda,Installation completed
740,Shray Sarkar,Female,North,Tamil Nadu,328662,JOINT,AADHAR,Vz3039GJmS,Commercial,6,6/19/2025,6/26/2025,6/29/2025,Approved,1781,Mahika Bhattacharyya,Installation pending
741,Rasha Randhawa,Male,South,Tamil Nadu,977107,INDIVIDUAL,AADHAR,yr3921ZmrH,Commercial,8,5/24/2025,6/1/2025,6/5/2025,Rejected,2519,Anahi Iyengar,KYC failed
742,Prisha Sethi,Male,East,Tamil Nadu,234590,INDIVIDUAL,PASSPORT,YG0931Dsqr,Commercial,1,6/29/2025,6/30/2025,7/5/2025,Connection Released,6131,Nirvi Srinivas,Installation completed
743,Jivika Saran,Male,West,Tamil Nadu,256121,INDIVIDUAL,AADHAR,gz9710HoTe,Commercial,1,5/19/2025,5/20/2025,5/25/2025,Approved,3581,Renee Hora,KYC failed
744,Kartik Bir,Female,West,Tamil Nadu,199068,INDIVIDUAL,AADHAR,mo9382prpr,Residential,2,7/24/2025,7/27/2025,7/29/2025,Pending,2752,Neelofar Balakrishnan,Installation pending
745,Aaina Mall,Male,South,Tamil Nadu,297434,INDIVIDUAL,VOTER_ID,QG2788VLYC,Commercial,3,5/2/2025,5/4/2025,5/5/2025,Connection Released,8008,Riaan Subramanian,Documents Verification in progress
746,Ehsaan Sehgal,Female,West,Tamil Nadu,959437,JOINT,PASSPORT,xn7064uJyK,Residential,2,7/6/2025,7/8/2025,7/11/2025,Approved,8689,Madhup Bhatnagar,Installation completed
747,Pranay Korpal,Female,South,Tamil Nadu,836850,JOINT,PAN,Fm9013VSLb,Residential,8,4/20/2025,4/22/2025,4/24/2025,Approved,8811,Sana Vora,Documents Verification in progress
